model,calibrated,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,brier_score,log_loss,ece
Random Forest,False,0.8634377276037873,0.7640575616774377,0.42846768336964414,0.6357758620689655,0.5119305856832972,0.8134467575121468,0.13963107855046913,0.45754048072730524,0.2429496077230852
XGBoost,False,0.8485069191551348,0.7608187591395821,0.39487516425755587,0.6476293103448276,0.4906122448979592,0.8107616367517336,0.1432216316461563,0.465639591217041,0.24267886314630638
XGBoost + Sigmoid Calibration,True,0.9021607186210245,0.6113609427331478,0.6930379746835443,0.23599137931034483,0.3520900321543408,0.8125547637860276,0.07489818904433787,0.2652038296751649,0.014786273474615697
